PID,Price
P1,338
P2,304
P3,559
P4,510
P5,360
P6,310
P7,789
P8,713
P9,170
P10,69
P11,963
P12,449
P13,765
P14,50
P15,268
P16,98
P17,743
P18,155
P19,638
P20,371
P21,832
P22,992
P23,248
P24,122
P25,938
P26,404
P27,540
P28,272
P29,337
P30,306
P31,106
P32,770
P33,512
P34,915
P35,698
P36,986
P37,76
P38,888
P39,509
P40,384
P41,97
P42,729
P43,251
P44,758
P45,736
P46,720
P47,947
P48,511
P49,451
P50,612
P51,52
P52,226
P53,427
P54,682
P55,741
P56,595
P57,227
P58,700
P59,548
P60,520
P61,713
P62,823
P63,892
P64,820
P65,771
P66,538
P67,595
P68,553
P69,815
P70,215
P71,801
P72,690
P73,66
P74,844
P75,230
P76,175
P77,119
P78,533
P79,799
P80,672
P81,674
P82,264
P83,713
P84,682
P85,333
P86,378
P87,900
P88,351
P89,331
P90,165
P91,298
P92,930
P93,730
P94,541
P95,670
P96,973
P97,164
P98,963
P99,379
P100,516
P101,794
P102,300
P103,587
P104,377
P105,721
P106,272
P107,961
P108,136
P109,336
P110,662
P111,643
P112,329
P113,125
P114,870
P115,569
P116,371
P117,808
P118,629
P119,662
P120,330
P121,715
P122,91
P123,161
P124,705
P125,439
P126,372
P127,971
P128,381
P129,473
P130,999
P131,740
P132,243
P133,254
P134,861
P135,645
P136,563
P137,824
P138,485
P139,88
P140,757
P141,303
P142,188
P143,431
P144,392
P145,562
P146,864
P147,661
P148,610
P149,316
P150,262
P151,285
P152,306
P153,838
P154,616
P155,366
P156,937
P157,791
P158,490
P159,234
P160,432
P161,661
P162,582
P163,441
P164,370
P165,242
P166,214
P167,305
P168,442
P169,306
P170,608
P171,424
P172,139
P173,440
P174,665
P175,164
P176,143
P177,336
P178,433
P179,804
P180,424
P181,844
P182,555
P183,987
P184,992
P185,627
P186,125
P187,191
P188,758
P189,224
P190,442
P191,327
P192,744
P193,282
P194,230
P195,227
P196,778
P197,956
P198,874
P199,316
P200,557
P201,472
P202,640
P203,550
P204,957
P205,150
P206,906
P207,910
P208,718
P209,732
P210,532
P211,879
P212,295
P213,943
P214,585
P215,444
P216,93
P217,517
P218,971
P219,959
P220,816
P221,754
P222,372
P223,371
P224,972
P225,811
P226,273
P227,111
P228,908
P229,777
P230,306
P231,387
P232,528
P233,125
P234,613
P235,943
P236,59
P237,350
P238,92
P239,340
P240,967
P241,205
P242,664
P243,738
P244,818
P245,810
P246,266
P247,66
P248,118
P249,564
P250,963
P251,274
P252,257
P253,450
P254,688
P255,943
P256,379
P257,724
P258,424
P259,854
P260,391
P261,585
P262,105
P263,880
P264,865
P265,512
P266,109
P267,594
P268,118
P269,272
P270,709
P271,128
P272,389
P273,724
P274,528
P275,856
P276,577
P277,283
P278,734
P279,347
P280,315
P281,87
P282,940
P283,201
P284,481
P285,207
P286,667
P287,710
P288,142
P289,507
P290,586
P291,776
P292,372
P293,816
P294,462
P295,89
P296,840
P297,692
P298,447
P299,941
P300,926
P301,135
P302,445
P303,279
P304,618
P305,595
P306,456
P307,890
P308,472
P309,997
P310,723
P311,70
P312,640
P313,660
P314,79
P315,446
P316,234
P317,405
P318,165
P319,787
P320,128
P321,745
P322,66
P323,872
P324,280
P325,829
P326,539
P327,302
P328,338
P329,445
P330,974
P331,753
P332,577
P333,386
P334,315
P335,554
P336,395
P337,399
P338,605
P339,712
P340,568
P341,82
P342,757
P343,150
P344,604
P345,287
P346,893
P347,544
P348,742
P349,628
P350,620
P351,973
P352,755
P353,763
P354,129
P355,116
P356,965
P357,887
P358,378
P359,960
P360,920
P361,770
P362,297
P363,819
P364,612
P365,121
P366,392
P367,588
P368,716
P369,80
P370,217
P371,839
P372,622
P373,866
P374,500
P375,635
P376,650
P377,269
P378,833
P379,625
P380,90
P381,85
P382,706
P383,574
P384,791
P385,719
P386,776
P387,172
P388,184
P389,646
P390,872
P391,901
P392,378
P393,434
P394,924
P395,372
P396,808
P397,176
P398,977
P399,75
P400,122
P401,906
P402,407
P403,528
P404,845
P405,193
P406,294
P407,324
P408,834
P409,395
P410,850
P411,350
P412,803
P413,407
P414,226
P415,826
P416,655
P417,570
P418,80
P419,66
P420,679
P421,408
P422,690
P423,185
P424,221
P425,111
P426,310
P427,265
P428,66
P429,617
P430,103
P431,375
P432,421
P433,841
P434,51
P435,774
P436,55
P437,887
P438,367
P439,475
P440,831
P441,189
P442,476
P443,758
P444,667
P445,322
P446,626
P447,821
P448,351
P449,982
P450,638
P451,944
P452,969
P453,365
P454,96
P455,300
P456,536
P457,929
P458,896
P459,210
P460,224
P461,295
P462,366
P463,197
P464,315
P465,413
P466,198
P467,459
P468,717
P469,803
P470,370
P471,387
P472,935
P473,468
P474,916
P475,732
P476,432
P477,991
P478,308
P479,142
P480,945
P481,408
P482,755
P483,721
P484,756
P485,351
P486,826
P487,811
P488,392
P489,503
P490,369
P491,150
P492,323
P493,330
P494,127
P495,310
P496,222
P497,98
P498,987
P499,443
P500,803
P501,690
P502,81
P503,811
P504,102
P505,452
P506,855
P507,785
P508,284
P509,811
P510,329
P511,368
P512,832
P513,300
P514,546
P515,470
P516,730
P517,843
P518,427
P519,839
P520,928
P521,356
P522,266
P523,502
P524,164
P525,893
P526,425
P527,436
P528,601
P529,478
P530,141
P531,229
P532,786
P533,496
P534,235
P535,212
P536,561
P537,469
P538,489
P539,308
P540,843
P541,79
P542,515
P543,894
P544,527
P545,129
P546,587
P547,852
P548,507
P549,571
P550,188
P551,307
P552,849
P553,143
P554,923
P555,780
P556,532
P557,122
P558,723
P559,275
P560,987
P561,696
P562,688
P563,290
P564,741
P565,530
P566,358
P567,182
P568,457
P569,447
P570,979
P571,747
P572,789
P573,218
P574,475
P575,349
P576,641
P577,362
P578,943
P579,984
P580,254
P581,142
P582,942
P583,859
P584,827
P585,337
P586,758
P587,235
P588,534
P589,666
P590,812
P591,547
P592,100
P593,230
P594,862
P595,150
P596,795
P597,222
P598,117
P599,271
P600,311
P601,855
P602,750
P603,833
P604,323
P605,533
P606,930
P607,939
P608,223
P609,491
P610,713
P611,708
P612,103
P613,987
P614,361
P615,827
P616,450
P617,239
P618,143
P619,111
P620,764
P621,59
P622,472
P623,611
P624,301
P625,744
P626,983
P627,477
P628,406
P629,438
P630,423
P631,94
P632,356
P633,87
P634,872
P635,183
P636,980
P637,214
P638,714
P639,778
P640,340
P641,935
P642,873
P643,188
P644,738
P645,751
P646,520
P647,323
P648,967
P649,280
P650,816
P651,62
P652,826
P653,854
P654,821
P655,420
P656,477
P657,558
P658,883
P659,362
P660,722
P661,342
P662,835
P663,742
P664,886
P665,740
P666,123
P667,762
P668,472
P669,951
P670,154
P671,426
P672,566
P673,878
P674,332
P675,571
P676,747
P677,328
P678,117
P679,935
P680,408
P681,412
P682,405
P683,118
P684,862
P685,942
P686,460
P687,737
P688,125
P689,594
P690,962
P691,905
P692,781
P693,567
P694,409
P695,630
P696,690
P697,924
P698,689
P699,549
P700,668
P701,196
P702,661
P703,88
P704,320
P705,572
P706,838
P707,342
P708,927
P709,523
P710,597
P711,100
P712,436
P713,907
P714,810
